Curve,Extension,Force
1,7.32,4.6
1,7.33,4.6
1,7.34,4.6
1,7.35,4.6
1,7.36,4.65
1,7.37,4.65
1,7.38,4.6
1,7.39,4.65
1,7.4,4.65
1,7.41,4.65
1,7.42,4.65
1,7.43,4.65
1,7.44,4.65
1,7.45,4.65
1,7.46,4.65
1,7.47,4.65
1,7.48,4.65
1,7.49,4.7
1,7.5,4.7
1,7.51,4.65
1,7.52,4.65
1,7.53,4.7
1,7.54,4.7
1,7.55,4.7
1,7.56,4.7
1,7.57,4.7
1,7.58,4.7
1,7.59,4.7
1,7.6,4.7
1,7.61,4.7
1,7.62,4.7
1,7.63,4.7
1,7.64,4.7
1,7.65,4.7
1,7.66,4.7
1,7.67,4.7
1,7.68,4.75
1,7.69,4.75
1,7.7,4.75
1,7.71,4.75
1,7.72,4.8
1,7.73,4.8
1,7.74,4.75
1,7.75,4.75
1,7.76,4.8
1,7.77,4.8
1,7.78,4.8
1,7.79,4.75
1,7.8,4.8
1,7.81,4.75
1,7.82,4.75
1,7.83,4.75
1,7.84,4.75
1,7.85,4.75
1,7.86,4.8
1,7.87,4.8
1,7.88,4.8
1,7.89,4.75
1,7.9,4.75
1,7.91,4.75
1,7.92,4.75
1,7.93,4.8
1,7.94,4.8
1,7.95,4.75
1,7.96,4.75
1,7.97,4.8
1,7.98,4.75
1,7.99,4.75
1,8,4.75
1,8.01,4.8
1,8.02,4.8
1,8.03,4.8
1,8.04,4.8
1,8.05,4.8
1,8.06,4.8
1,8.07,4.8
1,8.08,4.8
1,8.09,4.8
1,8.1,4.8
1,8.11,4.8
1,8.12,4.8
1,8.13,4.85
1,8.14,4.8
1,8.15,4.8
1,8.16,4.8
1,8.17,4.8
1,8.18,4.85
1,8.19,4.85
1,8.2,4.85
1,8.21,4.85
1,8.22,4.9
1,8.23,4.85
1,8.24,4.85
1,8.25,4.85
1,8.26,4.85
1,8.27,4.85
1,8.28,4.9
1,8.29,4.85
1,8.3,4.85
1,8.31,4.85
1,8.32,4.9
1,8.33,4.95
1,8.34,4.95
1,8.35,4.95
1,8.36,4.95
1,8.37,5
1,8.38,5
1,8.39,5
1,8.4,5
1,8.41,5.1
1,8.42,5.15
1,8.43,5.3
1,8.44,5.3
1,8.45,5.35
1,8.46,5.4
1,8.47,5.4
1,8.48,5.4
1,8.49,5.45
1,8.5,5.45
1,8.51,5.5
1,8.52,5.65
1,8.53,6.25
1,8.54,6.65
1,8.55,7.1
1,8.56,8.1
1,8.57,8.55
1,8.58,9
1,8.59,9.85
1,8.6,10.2
1,8.61,10.45
1,8.62,10.8
1,8.63,10.9
1,8.64,11
1,8.65,11.05
1,8.66,11.1
1,8.67,11.2
1,8.68,11.25
1,8.69,11.3
1,8.7,11.6
1,8.71,12.15
1,8.72,13.4
1,8.73,14.15
1,8.74,15.1
1,8.75,16.1
1,8.76,18.3
1,8.77,19.6
1,8.78,21.25
1,8.79,23
1,8.8,26.55
1,8.81,28.4
1,8.82,30.3
1,8.83,32.25
1,8.84,35.6
1,8.85,37.4
1,8.86,39.5
1,8.87,41.75
2,8.89,48.75
2,8.88,46.2
2,8.87,43.65
2,8.86,41.1
2,8.85,38.55
2,8.84,36
2,8.83,33.45
2,8.82,30.9
2,8.81,29.2
2,8.8,27.45
2,8.79,25.7
2,8.78,22.15
2,8.77,20.65
2,8.76,17.6
2,8.75,16.1
2,8.74,14.75
2,8.73,13.65
2,8.72,12.7
2,8.71,11.9
2,8.7,10.65
2,8.69,10.35
2,8.68,10.2
2,8.67,10.15
2,8.66,10.1
2,8.65,10.1
2,8.64,10
2,8.63,9.95
2,8.62,9.9
2,8.61,9.7
2,8.6,9
2,8.59,8.5
2,8.58,7.95
2,8.57,6.95
2,8.56,6.5
2,8.55,5.9
2,8.54,5.3
2,8.53,4.95
2,8.52,4.4
2,8.51,4.25
2,8.5,4.25
2,8.49,4.2
2,8.48,4.2
2,8.47,4.25
2,8.46,4.25
2,8.45,4.2
2,8.44,4.2
2,8.43,4.2
2,8.42,4.2
2,8.41,4.2
2,8.4,4.15
2,8.39,4.15
2,8.38,4.1
2,8.37,4.1
2,8.36,4.1
2,8.35,4.1
2,8.34,4.1
2,8.33,4.1
2,8.32,4.05
2,8.31,4.05
2,8.3,4.05
2,8.29,4.05
2,8.28,4.05
2,8.27,4.05
2,8.26,4.05
2,8.25,4.05
2,8.24,4.05
2,8.23,4
2,8.22,4.05
2,8.21,4.05
2,8.2,4.05
2,8.19,4.05
2,8.18,4.05
2,8.17,4.05
2,8.16,4
2,8.15,4.05
2,8.14,4
2,8.13,4
2,8.12,4
2,8.11,4
2,8.1,4
2,8.09,4
2,8.08,4
2,8.07,4
2,8.06,4
2,8.05,4
2,8.04,4
2,8.03,4
2,8.02,4
2,8.01,4
2,8,4
2,7.99,4
2,7.98,4
2,7.97,4
2,7.96,4
2,7.95,4
2,7.94,4
2,7.93,4
2,7.92,3.95
