Test,result,spec lower,spec upper,range,to lower,to upper,% from lim,% from lim up,closest_to_spec
gap creation,1.776,1.05,2.5,1.45,0.726,0.724,50.1,49.9,0.499
gap creation,1.772,1.05,2.5,1.45,0.722,0.728,49.8,50.2,0.498
gap creation,2.033,1.05,2.5,1.45,0.983,0.467,67.8,32.2,0.322
gap creation,1.857,1.05,2.5,1.45,0.807,0.643,55.7,44.3,0.443
gap creation,2.018,1.05,2.5,1.45,0.968,0.482,66.8,33.2,0.332
gap creation,1.995,1.05,2.5,1.45,0.945,0.505,65.2,34.8,0.348
gap creation,1.7,1.05,2.5,1.45,0.65,0.8,44.8,55.2,0.448
gap creation,2.144,1.05,2.5,1.45,1.094,0.356,75.4,24.6,0.246
gap creation,1.792,1.05,2.5,1.45,0.742,0.708,51.2,48.8,0.488
gap creation,1.828,1.05,2.5,1.45,0.778,0.672,53.7,46.3,0.463
gap creation,1.797,1.05,2.5,1.45,0.747,0.703,51.5,48.5,0.485
gap creation,1.867,1.05,2.5,1.45,0.817,0.633,56.3,43.7,0.437
gap creation,1.922,1.05,2.5,1.45,0.872,0.578,60.1,39.9,0.399
gap creation,2.008,1.05,2.5,1.45,0.958,0.492,66.1,33.9,0.339
gap creation,1.792,1.05,2.5,1.45,0.742,0.708,51.2,48.8,0.488
gap creation,1.761,1.05,2.5,1.45,0.711,0.739,49,51,0.49
gap creation,2.011,1.05,2.5,1.45,0.961,0.489,66.3,33.7,0.337
gap creation,1.759,1.05,2.5,1.45,0.709,0.741,48.9,51.1,0.489
gap creation,1.888,1.05,2.5,1.45,0.838,0.612,57.8,42.2,0.422
gap creation,1.818,1.05,2.5,1.45,0.768,0.682,53,47,0.47
gap creation,1.909,1.05,2.5,1.45,0.859,0.591,59.2,40.8,0.408
gap creation,1.906,1.05,2.5,1.45,0.856,0.594,59,41,0.41
gap creation,1.866,1.05,2.5,1.45,0.816,0.634,56.3,43.7,0.437
gap creation,1.99,1.05,2.5,1.45,0.94,0.51,64.8,35.2,0.352
gap creation,1.843,1.05,2.5,1.45,0.793,0.657,54.7,45.3,0.453
gap creation,2.021,1.05,2.5,1.45,0.971,0.479,67,33,0.33
gap creation,1.708,1.05,2.5,1.45,0.658,0.792,45.4,54.6,0.454
gap creation,1.705,1.05,2.5,1.45,0.655,0.795,45.2,54.8,0.452
gap creation,1.983,1.05,2.5,1.45,0.933,0.517,64.3,35.7,0.357
gap creation,1.796,1.05,2.5,1.45,0.746,0.704,51.4,48.6,0.486
gap creation,2.031,1.05,2.5,1.45,0.981,0.469,67.7,32.3,0.323
gap creation,1.902,1.05,2.5,1.45,0.852,0.598,58.8,41.2,0.412
gap creation,1.657,1.05,2.5,1.45,0.607,0.843,41.9,58.1,0.419
gap creation,1.75,1.05,2.5,1.45,0.7,0.75,48.3,51.7,0.483
gap creation,1.58,1.05,2.5,1.45,0.53,0.92,36.6,63.4,0.366
gap creation,1.603,1.05,2.5,1.45,0.553,0.897,38.1,61.9,0.381
gap creation,1.698,1.05,2.5,1.45,0.648,0.802,44.7,55.3,0.447
gap creation,1.795,1.05,2.5,1.45,0.745,0.705,51.4,48.6,0.486
gap creation,1.717,1.05,2.5,1.45,0.667,0.783,46,54,0.46
gap creation,1.605,1.05,2.5,1.45,0.555,0.895,38.3,61.7,0.383
gap creation,1.667,1.05,2.5,1.45,0.617,0.833,42.6,57.4,0.426
gap creation,1.842,1.05,2.5,1.45,0.792,0.658,54.6,45.4,0.454
gap creation,1.558,1.05,2.5,1.45,0.508,0.942,35,65,0.35
